x,y,p
-98996.0135659227,87375.5497794139,1.539
-95559.2839176069,54621.3040875847,1.509
-93674.6313912838,15484.9780969851,1.619
-93207.5453530805,46824.3803050878,1.507
-92663.5704101667,18755.1864038886,1.509
-91680.9812289011,35525.3711194512,1.511
-91213.6947008091,35796.1202038178,1.512
-91163.0314846293,28399.7291019263,1.499
-89705.8885797551,11954.3995856487,1.537
-89319.0685559564,12194.8446033821,1.589
-88571.1598722975,52817.3920806826,1.529
-88070.1637268864,30022.128584952,1.543
-87717.9864890911,29640.0485372292,1.543
-87633.7609314441,30499.1388750972,1.543
-87268.0429850802,102891.478895055,1.559
-86810.7620264095,44701.0104799899,1.569
-86681.5510396163,64741.1951103873,1.519
-86444.5422050309,64811.8396240478,1.509
-86383.8785459887,65668.9872341997,1.519
-86361.9733151221,64149.6962573727,1.506
-86296.4495764317,65312.3751950164,1.519
-86146.2678819352,29199.1286860414,1.469
-86112.0354861117,69118.6789756463,1.506
-86102.0368011255,64912.4060797149,1.501
-86026.4758253082,67278.8957027274,1.507
-85764.235662956,44725.714223741,1.569
-85738.6038081377,65007.3834399123,1.506
-85516.5473596117,32735.028603492,1.559
-85411.2677008986,31310.0646559228,1.559
-85356.4933372642,38635.2342045587,1.54
-85305.237445984,88288.9315973191,1.519
-85278.2029799378,45823.7333577442,1.54
-85094.5057657775,86030.9452966491,1.519
-84821.0395907382,62550.8598977394,1.504
-84767.0723821457,29998.1331435484,1.543
-84651.1217318056,37074.8292028583,1.559
-84612.1945917424,28329.6356113153,1.543
-84500.8137776305,32439.9821880413,1.543
-84491.1176015304,76354.01089036,1.499
-84481.6549346399,-15126.2830347414,1.579
-84373.5824931064,-15267.7715321755,1.579
-84330.4021130397,1789.25367621385,1.599
-84308.8059829272,32796.863165868,1.559
-84233.0472924311,-5591.27151240711,1.559
-84190.2566295557,68044.242559696,1.499
-84185.1522899083,57899.5839425612,1.519
-83908.5429272139,28544.2549629228,1.548
-83894.2327088593,28680.3671908834,1.544
-83710.4501152749,73627.3407169214,1.499
-83661.8788583371,69245.7500329386,1.493
-83369.4699122631,27769.3295753654,1.569
-83133.424481315,52458.5574902712,1.569
-83120.2974544467,70340.6506493149,1.497
-83063.7452179781,65895.442423703,1.493
-82892.7276215586,67319.9949624959,1.493
-82859.8174626597,90411.5248115842,1.498
-82828.615883904,83390.6088060429,1.559
-82825.6988467618,67469.0720203582,1.493
-82791.4707558292,70344.3757318228,1.493
-82778.7377205516,-20835.867489732,1.549
-82572.9909204903,64283.3622247497,1.498
-82330.8720609791,76374.9583108485,1.498
-81668.1788687009,32339.8279552954,1.544
-81601.4432583817,63714.5486013251,1.494
-81123.2980830296,65967.2287219664,1.489
-81103.8828186527,63410.7420070032,1.494
-80800.6319579041,34254.0850649714,1.544
-80620.680126421,55484.1670107946,1.523
-80192.6039732919,-34703.1993247366,1.559
-80129.3067807044,89175.7978725825,1.529
-79772.973751141,89884.6651502626,1.524
-79699.2234092525,89513.3604526137,1.509
-79674.3142413426,90056.100032335,1.504
-79459.5245516801,-34322.6739747604,1.54
-79399.4656406011,90556.691274591,1.519
-79328.4564777239,-34447.4114538174,1.559
-78496.4036940312,39508.8706187577,1.544
-78451.9975333026,154409.22444131,1.465
-77603.2404768817,93812.7475450129,1.519
-77466.6179827269,17441.6915082329,1.547
-76698.1647182792,51518.735596053,1.529
-75908.9660965874,98254.7263527162,1.524
-75753.6552858959,137403.647237937,1.529
-75405.9117456756,16639.9655144486,1.547
-75172.2974651559,97593.3886439024,1.514
-74367.830226537,108128.312934549,1.539
-73921.1109526539,-14675.1582828243,1.577
-73727.1817964718,49691.6624662256,1.535
-73657.0021865224,49439.8975890226,1.52
-73572.5925730102,49287.0409447768,1.551
-73242.0768044237,25489.0135560919,1.549
-73217.2876951687,48739.6097659257,1.523
-73145.0543265024,48761.4525888917,1.533
-73062.8735817756,166789.72036507,1.459
-72566.9598186297,49038.728698089,1.522
-72432.0791363496,138201.769476539,1.505
-72327.4368698601,53780.49847638,1.518
-72000.1087468882,139582.446502868,1.495
-71742.1697636648,-24600.2289288804,1.579
-71693.7340953891,163046.368913519,1.465
-71676.6979320855,160842.535023486,1.479
-71570.7912868246,168394.932098062,1.459
-70664.3500096622,-76320.6180294809,1.619
-70619.5268696747,-75494.3332274265,1.629
-70608.6619943586,177295.063533555,1.459
-70587.1946397852,82422.7493624419,1.519
-70502.6514573396,82454.265663173,1.503
-70488.291167326,-15627.1542474285,1.579
-70211.2223303114,152217.62805722,1.479
-69592.4558264915,104653.991924216,1.524
-69559.3472630728,164271.90256125,1.469
-69260.380712342,68355.1815386196,1.544
-69108.4255028311,69816.4351180756,1.544
-69005.913786821,144812.581703681,1.492
-68957.220576635,69166.6507303649,1.545
-68509.4982287228,70636.3668353798,1.549
-68366.9163671592,146110.295414515,1.492
-68007.1014887908,134016.264236299,1.504
-67969.4389880438,146826.491726386,1.479
-67869.226036044,181768.359009187,1.475
-67716.8812855628,152285.021108014,1.479
-67418.7893080125,165850.718805104,1.459
-67189.7655262908,6278.81260417675,1.584
-67027.5717494521,136230.317921353,1.505
-66803.7489254319,5363.06061159319,1.538
-66702.0098215742,5013.17202515679,1.533
-66230.8652584387,4453.76545976195,1.538
-66215.5727482105,4385.33783795196,1.569
-66185.7917270886,4285.27691677876,1.533
-65414.1708528004,18626.5896451642,1.533
-65405.5123799012,19705.1714027213,1.569
-65307.2244743655,17971.6996272933,1.544
-65203.8561540415,3005.50031148054,1.549
-64630.067533031,72519.6594398915,1.499
-64588.2259026328,2453.00822597771,1.545
-63587.1814946213,26584.0791231503,1.583
-63572.1485090361,159215.103673621,1.489
-63437.4404668179,4415.11011330347,1.563
-63381.3222767541,4491.06135839794,1.578
-63300.6296867236,183197.663349099,1.475
-63200.0566234681,31119.395626845,1.554
-63128.6564315132,160599.317743806,1.489
-62644.5279474509,176223.245455917,1.498
-62494.1805714836,176077.872468859,1.459
-62357.2866202564,160641.445217782,1.492
-62256.9549684647,160833.169455999,1.499
-62123.9869507535,-48547.0919817428,1.589
-62071.0808082676,-52277.6597175902,1.59
-61977.9944602752,-49103.7242106097,1.579
-61959.4467350607,-53059.4421798805,1.599
-61884.1997745361,172373.073463367,1.459
-61842.2583580206,134711.339913945,1.497
-61776.5686789695,-50428.756786342,1.585
-61708.2048799916,-51615.9753085444,1.59
-61705.6586067228,-50975.0044678769,1.584
-61687.1932666833,-51040.8895579482,1.599
-61610.4050430383,-53285.709398129,1.59
-61589.9982680799,-3725.5145842472,1.549
-61580.019701284,182947.606963319,1.495
-61460.3803153738,135424.776136017,1.503
-61292.9828858403,153319.155545925,1.479
-61287.682540825,159963.079054193,1.492
-61259.6120021574,136153.943831693,1.503
-61230.1983850689,-5985.90307026193,1.579
-61229.5260803188,105827.979522026,1.524
-60669.9537893322,142310.216699536,1.499
-60652.8508728025,82860.1044491007,1.503
-60330.7358155501,136217.137749858,1.504
-59290.9270880749,105869.302992925,1.531
-59283.9610348311,54514.9022878787,1.539
-59201.4964805746,146929.823441318,1.499
-59074.785941374,106082.502866875,1.519
-58503.5659919989,157461.001747955,1.494
-58334.7215152974,-42781.9279225998,1.559
-58260.1668057736,-42819.4818328434,1.569
-57738.3850999711,158996.026746261,1.492
-57714.4197778258,106782.512461412,1.521
-57689.8110412974,168172.89124627,1.531
-57403.1596718717,77189.0079985515,1.529
-57280.684401331,157031.863591555,1.492
-57240.3239400419,149239.909368205,1.499
-56563.2027134896,158847.903537546,1.494
-55735.8795892306,80274.1027978162,1.529
-55683.768844845,-224705.189403408,1.619
-55617.7655556941,-14093.1681896255,1.524
-55066.09142885,177051.098331757,1.479
-54897.5210801523,75193.8977816821,1.569
-54581.0723730788,162169.438731875,1.538
-54329.5942854991,186698.184297725,1.504
-54286.6382133205,67285.1990532534,1.569
-53802.7117165151,5895.30927868449,1.583
-53505.237467449,6036.76226228883,1.603
-53229.7392328805,156113.960865815,1.492
-53138.4054066529,180218.022431581,1.513
-52671.2862971409,138290.005837079,1.502
-52008.3828210349,-85185.40314313,1.624
-51632.0510685192,-41266.1924826489,1.569
-50833.6303238893,-224985.94752701,1.619
-50779.7656394587,-18663.242770556,1.549
-50648.9666331433,149065.845196037,1.497
-50333.4360034867,-19704.6925761355,1.549
-50059.8544512521,-66798.3812457336,1.599
-49190.3764952152,137084.639667132,1.498
-48635.264484125,4299.56422335753,1.565
-48291.589241071,168359.715804313,1.539
-48247.1671073685,104004.998295877,1.524
-47799.5526543044,73275.2778644242,1.529
-47678.2573394329,72845.563301206,1.529
-47667.8093154368,168450.030626899,1.539
-47516.0981023623,12472.4607241594,1.609
-47365.451551939,141999.172150126,1.507
-46222.5477242126,204273.72190363,1.499
-46150.4552038366,204825.971523944,1.519
-46076.8617213072,205196.761707656,1.508
-45462.5911839886,71575.9652917802,1.529
-45440.5873909425,186801.80741918,1.499
-45438.0618191345,186954.124350885,1.498
-45410.7597638657,186643.835244593,1.483
-45315.1564634988,144576.503917943,1.504
-45223.2188537762,183954.272914035,1.493
-45170.590671411,144419.685856357,1.498
-44956.8126245763,184962.177052573,1.493
-44947.7390891375,194592.176377249,1.512
-44813.4554081784,58345.1446648437,1.599
-44514.3026304161,-185989.207595023,1.689
-44389.7726981824,189972.061044529,1.494
-44383.5621565327,-223813.30703111,1.657
-44358.8898902444,148609.59656178,1.498
-44186.1604133149,150917.28236844,1.504
-44079.7215709138,152661.069733093,1.489
-43897.5279569018,-69064.5671251724,1.589
-43628.6541655681,181714.794137224,1.493
-43197.3447737104,177555.800510582,1.526
-43132.8089569722,-185689.923987924,1.688
-42809.2028010123,172483.128118188,1.528
-42620.6632919625,160641.014375101,1.519
-42541.3931185771,184535.061741914,1.499
-42510.9009757504,-75141.2313385385,1.609
-42169.739220587,133723.943338747,1.504
-41860.9889510605,98811.39879096,1.519
-41552.0880728316,152232.357545689,1.478
-40915.8327946545,138384.768465226,1.499
-40563.9490470671,-147884.480752382,1.729
-39771.6249834292,148975.070794322,1.489
-39547.7804769584,114348.336879685,1.51
-39476.4840151257,-147847.514677706,1.729
-39211.3246665866,153607.171676319,1.504
-38957.2603172773,121788.530392775,1.478
-38123.0695946887,-149128.288276337,1.739
-38018.1628875831,148025.034235079,1.493
-37779.5409703053,148005.114506429,1.484
-37753.4309000118,207597.827257597,1.519
-37488.717668638,130456.502100646,1.484
-37447.6869725151,155114.468958831,1.498
-37173.7493210724,148625.966736803,1.488
-36966.4667086923,185135.545324395,1.539
-36821.4633774053,-239824.810539167,1.609
-36805.2867200072,-149659.500973429,1.754
-36482.4494479633,129600.225815804,1.484
-36465.8636733792,-149602.188398944,1.649
-36023.5321381757,154562.564117923,1.489
-35933.7495276284,154520.630748211,1.494
-35924.4931616728,156990.22973756,1.498
-35867.6727061881,147547.823442411,1.492
-35840.8810579965,-263012.681083497,1.609
-35749.0791069128,-205321.99832492,1.657
-35736.3555360075,133736.852226297,1.504
-35601.5434483794,127052.232828293,1.489
-35401.4028389517,127907.081889368,1.478
-35367.4976894725,149110.383778726,1.488
-35331.7563322094,154024.96704598,1.484
-35325.4240009405,197839.444221722,1.498
-35254.8955258728,200573.995278624,1.519
-35226.2011903173,145549.190004955,1.498
-34999.9197768331,174187.259165772,1.529
-34981.2932973728,74221.5953692719,1.559
-34734.0666290972,123524.839329858,1.484
-34695.4420221467,124496.429311431,1.499
-34654.0544403579,150008.329961397,1.494
-34214.6280573739,149472.069818176,1.498
-34124.9226642707,94174.9471735749,1.532
-33989.7867532923,149620.556815417,1.498
-33944.5562793851,181353.927779569,1.539
-33904.7671854675,200250.590767592,1.498
-33755.7932461731,65462.8580010728,1.529
-33691.5563939093,73777.4356093475,1.539
-33623.1187950282,127369.186072728,1.504
-33572.4399216551,162345.610525289,1.519
-33553.4862263922,38714.6493638855,1.557
-33446.0593146927,217626.807816389,1.519
-33434.4770871559,199578.746273154,1.497
-33340.7263042025,154102.111797905,1.484
-33184.0392633211,-212546.355164998,1.619
-33166.1438586907,224548.547246846,1.509
-33009.106656946,198723.008867417,1.498
-32896.9045748835,198526.442120318,1.498
-32562.4142067276,16902.0854197866,1.719
-32481.9893653179,13895.1238412649,1.719
-32390.0857858325,199278.115735751,1.508
-32343.865568948,13727.2456920225,1.719
-32151.8281091306,154733.562979166,1.493
-32110.6724302865,199474.928176942,1.498
-31810.5251680129,-233240.125873781,1.583
-31181.3963451092,48984.9219032171,1.524
-30775.036264274,-150823.412254182,1.729
-30648.7795174009,148305.01433419,1.494
-30516.0890964043,-24304.5243033758,1.569
-30509.4090415147,56056.5349228097,1.551
-30470.7949339748,149528.506438127,1.494
-30407.1989185361,-150896.403348754,1.744
-30320.8706493762,173000.005200457,1.539
-30215.2136430237,187936.619466725,1.509
-30161.1855999981,53884.0377251293,1.579
-29864.0035852484,-226832.37925108,1.602
-29687.1969007787,184044.535639709,1.519
-29687.1520095423,153695.946317436,1.488
-29547.7220748541,149634.549504506,1.489
-29538.8578203867,187563.158511631,1.499
-29493.4751035841,159731.462415982,1.488
-29437.5192296251,-211400.597187081,1.659
-29328.8508980339,171524.343101471,1.549
-28954.8471926022,171525.923210843,1.539
-28783.6937407069,179513.934080968,1.519
-28686.7935911135,-162598.312543035,1.699
-28620.8690901164,17527.1639672786,1.699
-28469.9764978262,-268358.926222698,1.599
-28378.2072039205,-269380.770577105,1.609
-28332.117999162,26907.9391909176,1.719
-28280.2150984328,143638.380846757,1.489
-28210.44383071,26703.1746509724,1.699
-28141.7799566353,17543.0132788358,1.719
-28105.392371276,170481.531750773,1.532
-28002.200913774,26951.331597801,1.699
-27882.2177888548,170802.958228634,1.529
-27504.8757553278,97491.4601199856,1.52
-27480.8806566776,144534.788958251,1.489
-27054.5889759861,-151709.433194645,1.729
-26753.0885950324,163653.803219716,1.488
-26742.7140742887,-160465.630732089,1.669
-26639.6220604836,179021.957773864,1.497
-26631.1808851698,143301.182805883,1.495
-26611.6711760809,197639.326013394,1.499
-26360.6283141555,141769.995524921,1.495
-26252.1666970039,-271864.38530422,1.599
-25578.7183170431,-26209.695524555,1.558
-25568.1989717412,214001.405009032,1.519
-25516.9806636648,72874.0753735086,1.527
-25497.9296703637,72541.0302169374,1.554
-25376.1375404525,72931.2555926981,1.522
-25153.2372351614,-191533.88638371,1.649
-25118.3889364965,157020.779247323,1.539
-24594.3950329051,-223453.65587951,1.585
-24485.5946236567,187336.1847676,1.529
-24454.7087399328,-159201.650163267,1.649
-24420.6723392069,97104.2447640235,1.528
-24216.9526984543,-121559.042075027,1.639
-24048.8592128234,-128421.47127553,1.629
-24033.9619306658,-158791.684044639,1.649
-23949.9729880725,-261450.33647737,1.604
-23708.1968218226,213745.866286314,1.489
-23589.7213509942,-219061.613510111,1.584
-23566.8684573834,-241010.097498492,1.635
-23475.4146073728,175570.920620988,1.517
-23456.9857832993,91047.8674236539,1.527
-23400.8746828153,-158026.175000457,1.699
-23390.3865439017,90450.2686624066,1.522
-23371.6911171239,-26678.3891382348,1.569
-23324.1131939405,90383.822176765,1.539
-23056.2889204415,207429.245055089,1.519
-22940.3899845513,200855.642722687,1.512
-22687.4366112327,-217680.305664213,1.585
-22481.2007062705,87403.9351628902,1.527
-22415.995411929,167415.522569376,1.538
-22252.255498116,-217425.714911317,1.588
-22214.2902909251,-156809.614876668,1.669
-21983.4047580712,55180.8125517644,1.557
-21930.447931502,11367.8173413483,1.699
-21841.7178156756,86621.9410093926,1.522
-21834.6601129859,93126.0386094178,1.526
-21822.2907523554,161657.023857016,1.538
-21452.4635886953,194136.084376009,1.529
-21430.4359797111,-274347.175829755,1.599
-21276.9435039433,-206243.696999375,1.579
-21255.2795401111,205520.831512295,1.494
-20955.8575029072,178194.356155123,1.519
-20622.9420965693,-275424.186319263,1.569
-20622.3510277009,-192678.570477368,1.659
-20477.2248211129,96458.0328051671,1.534
-20453.8895519683,95480.4147919543,1.527
-20440.6776449963,205419.46299887,1.494
-20424.0784914027,97575.5693964713,1.527
-20186.5585721415,-276056.624572137,1.564
-20137.5232492937,99508.3939525525,1.537
-20108.6753061586,-275784.429553302,1.569
-20045.1589403939,62724.5234345879,1.529
-20030.7879496993,-275779.761282112,1.564
-20028.9361472898,-275474.812457614,1.609
-19369.7372779253,143439.76284784,1.499
-19290.6303609022,92762.6116619542,1.522
-19155.2619551334,165241.897418163,1.519
-19108.8303630359,-173845.559940167,1.619
-18929.2349159205,143374.63796693,1.504
-18903.0859384222,219703.442435076,1.494
-18792.8855849275,160122.17558987,1.535
-18672.3701556872,102660.404171739,1.522
-18655.1590847517,100859.604498238,1.518
-18652.4596100627,103134.810298931,1.527
-18592.4238485646,-277147.839336424,1.599
-18577.2937509784,103333.412631166,1.526
-18485.3255026884,179844.484532149,1.539
-18408.4299429381,-34910.4959280014,1.609
-18394.9839137572,211755.100713138,1.519
-18338.7254107427,84959.4385511943,1.527
-18221.2941297382,-96859.3091741218,1.497
-18153.2219091443,208325.51435351,1.489
-17823.1122995971,104030.899038269,1.549
-17809.7218201228,104989.823107874,1.536
-17765.5922685014,103194.760388179,1.549
-17729.3825365894,165603.415609148,1.524
-17505.5038520438,104173.628034103,1.549
-17364.3170550725,-194123.035955649,1.659
-17333.9884895799,-19270.3681514455,1.589
-17223.5153048227,-119035.748258925,1.644
-16934.4953217579,164788.582108878,1.549
-16857.1658105066,-106373.251773433,1.599
-16581.862258858,-118174.708353226,1.639
-16401.4852510333,-203965.407933211,1.574
-16075.1421976177,-18709.3822585032,1.589
-15901.6739689344,-119055.054499755,1.599
-15636.2713487766,-156855.659635832,1.619
-15568.3830395605,205156.806725583,1.489
-15550.2218403264,-205736.561753076,1.569
-15535.6883979726,171692.702463866,1.519
-15510.9241722856,185350.624052916,1.539
-15463.7424567628,-278346.057115997,1.569
-15455.3684427982,185412.516830745,1.522
-15381.7132927061,-164051.718113536,1.559
-14717.2029735746,-164938.864897419,1.649
-14686.3149931895,-279963.492287299,1.559
-14624.0818904409,-162127.12018453,1.579
-14610.7101613136,-204772.738159652,1.629
-14545.8339944342,-88885.2417024132,1.566
-14531.8751935009,-204832.016633689,1.629
-14508.7564101958,-162092.135443876,1.589
-14392.69095463,-156157.472633281,1.599
-14327.5294893409,-196794.392400164,1.629
-14160.5315145435,141488.138783164,1.518
-13956.273447095,-205693.252210882,1.579
-13734.7564683182,-151950.318303818,1.559
-13617.7234889786,192482.749191933,1.518
-13212.9797347261,-85102.8356590153,1.599
-13002.0851699306,-155411.405455623,1.579
-12990.8718550232,-277015.745216329,1.559
-12847.1227133325,-155486.406898754,1.579
-12827.7861354899,-84397.4047992693,1.619
-12748.3357700217,169914.89967055,1.522
-12744.0653029351,-156198.730115143,1.579
-12690.3997470611,78351.7741994484,1.533
-12623.0398166001,-161686.273923848,1.564
-12500.1230475672,-161053.868789284,1.549
-12150.8691248675,-154221.952270578,1.544
-12068.9579670447,-154692.431341629,1.549
-11925.9196898507,-152480.00168589,1.539
-11857.2430258308,-286244.449674271,1.552
-11829.5153293601,-165630.546573411,1.599
-11803.2237384891,216367.054744506,1.494
-11785.6314578386,-152099.102662531,1.544
-11700.3913568258,-47322.2563820308,1.569
-11552.8900400099,-154415.452172961,1.544
-11542.1221856076,-66420.2093283618,1.563
-11344.0007174065,-62719.8858868963,1.589
-11209.617126778,-167845.303140235,1.599
-11188.4354273544,215139.311163676,1.499
-11043.8753937174,-72626.4743625122,1.571
-11038.9931298522,-72475.4120539554,1.589
-11034.8058323371,-72761.874120962,1.566
-10995.6061044715,-149740.042194858,1.729
-10967.8618985071,153333.796201239,1.539
-10933.1043495326,-204098.958472019,1.579
-10894.7234586183,-70060.662818819,1.563
-10884.7460892287,-48689.116836921,1.563
-10807.3907414475,-41431.2126535265,1.589
-10807.3642032814,-166496.408614858,1.624
-10788.2072413025,-170215.422960615,1.629
-10707.1810587878,-152701.306627937,1.549
-10663.1013522297,-149058.732045366,1.564
-10539.7124581002,-152866.690182758,1.544
-10535.9962421689,-36681.7796720155,1.589
-10516.6980806562,-150932.291176096,1.549
-10498.7397140519,-148099.215349897,1.559
-10491.0390673598,-167435.06561782,1.594
-10466.121448356,-155231.817182794,1.549
-10412.0224435022,-147613.24480568,1.569
-10409.7454359809,-190291.508967078,1.619
-10376.8452491519,-190116.897663034,1.629
-10363.3888341789,-147478.723754843,1.564
-10297.6202497108,-153716.442868186,1.529
-10201.9718448296,-146768.935822651,1.599
-9863.58290530613,-154498.034243728,1.529
-9850.27591924212,-233208.439442654,1.569
-9841.32897812378,155655.429025352,1.519
-9781.60405962128,-118923.004135382,1.639
-9773.60017594171,189137.019099764,1.522
-9441.19078734104,-150491.037214393,1.549
-9385.39626432816,169424.612057278,1.549
-9374.91885210038,-28218.1346306467,1.549
-9189.76673254377,-140499.218726868,1.559
-9168.83639545849,-140187.212337024,1.569
-9137.76325775578,-142059.000836921,1.599
-9135.82723876729,225438.00395619,1.519
-9101.39565588278,190024.441144722,1.534
-9018.67110243766,-174654.139343577,1.629
-9004.61167398439,-119880.729208207,1.599
-8893.99612966069,-290756.099273583,1.556
-8830.793564372,-290712.078872615,1.549
-8800.60032470955,210662.653585977,1.512
-8551.44307395077,204392.38959371,1.494
-8528.63375861628,204386.5652064,1.519
-8526.00166837528,210319.433481794,1.499
-8500.33365518565,-140998.882148962,1.599
-8421.91465802048,193072.064517289,1.533
-8262.36773584672,190702.379840081,1.513
-8248.36866476916,190695.471534,1.513
-8226.68087798788,192676.832387901,1.508
-8087.06582149764,-182658.241142166,1.589
-8007.44513216923,191477.955021301,1.549
-7916.07144593721,191921.576157583,1.509
-7890.11434781505,-137178.604049766,1.569
-7474.47622152854,112544.528259694,1.489
-7470.39539026702,-23390.9715188729,1.579
-7254.92050842429,198702.843389297,1.494
-7220.68888477312,-179849.186520566,1.589
-7203.44132326893,-179972.333530473,1.589
-7074.11628828,-21144.8955142882,1.559
-6760.98322803044,-120016.129583485,1.629
-6749.72659523081,-49646.3535875888,1.568
-6593.97189997986,-288084.110890562,1.556
-6582.80648268946,-290249.160213235,1.559
-6499.09815504227,208153.203759906,1.494
-6407.72602731502,-291061.000022915,1.559
-6243.92894801125,159424.867126002,1.519
-6045.32745029544,-290761.104578425,1.554
-6017.9648548183,222404.159707962,1.499
-5901.4408295278,-19947.3553315372,1.547
-5746.39188967738,-177836.815162413,1.609
-5691.95326262439,207282.180734996,1.519
-5682.04565070651,-11386.0896352748,1.579
-5386.32418153598,-178321.931727551,1.619
-5295.33939784934,179197.649312553,1.549
-5216.25499404786,179999.659607195,1.559
-4889.77264607052,-19768.1087296842,1.549
